iter	RMSE
0	0.2894646023
1	0.2888182234
2	0.2883405196
3	0.2879133868
4	0.2876545849
5	0.2872322505
6	0.2867682987
7	0.2864677187
8	0.2860770199
9	0.2860144539
10	0.2857403479
11	0.2854459263
12	0.2851669633
13	0.2847811955
14	0.2845995671
15	0.2842994235
16	0.2840162788
17	0.2839422706
18	0.2837356089
19	0.2836477297
20	0.2833673715
21	0.2832153392
22	0.2831094881
23	0.2829391005
24	0.2826045839
25	0.2823314256
26	0.2819934548
27	0.281972676
28	0.2818866623
29	0.2817480883
30	0.281542529
31	0.2814708176
32	0.2810842117
33	0.2810278808
34	0.2808925676
35	0.2805636456
36	0.2801785667
37	0.2798081168
38	0.2796233666
39	0.2796233571
40	0.2795810741
41	0.2794176841
42	0.2792857496
43	0.2792342829
44	0.2791080999
45	0.2786873324
46	0.2785882557
47	0.2784429656
48	0.27825351
49	0.2781875729
50	0.2780060387
51	0.2779001039
52	0.2778753427
53	0.277710789
54	0.2775954395
55	0.2774260919
56	0.2772631117
57	0.2770329847
58	0.2766479374
59	0.2765595525
60	0.2763777709
61	0.2763463079
62	0.2759754684
63	0.2757729328
64	0.2756237143
65	0.275478113
66	0.2751740748
67	0.2750492367
68	0.274941026
69	0.2747972958
70	0.2747402044
71	0.2745035221
72	0.27436449
73	0.2742839893
74	0.2740445612
75	0.2738578235
76	0.2737395278
77	0.2736630225
78	0.273613736
79	0.273582275
80	0.2734380827
81	0.2732266623
82	0.2731953709
83	0.2730686333
84	0.2730514179
85	0.272866134
86	0.2728314298
87	0.2727474059
88	0.2725310117
89	0.2721240185
90	0.2719419805
91	0.2717253085
92	0.2714253656
93	0.2713130478
94	0.2712788368
95	0.2710454569
96	0.2709957798
97	0.2709291799
98	0.2705939533
99	0.2704391241
100	0.2701908643
101	0.2700512277
102	0.2700342626
103	0.2700235497
104	0.2699640098
105	0.2699040884
106	0.2697843654
107	0.2696974098
108	0.2693451044
109	0.2692635047
110	0.2691301624
111	0.2690361941
112	0.2688218638
113	0.268654899
114	0.2686290072
115	0.2685647041
116	0.2684769536
117	0.2684576405
118	0.2682241597
119	0.2679996908
120	0.267794443
121	0.2676594734
122	0.267612962
123	0.2674681481
124	0.2672218837
125	0.2670765213
126	0.2666463567
127	0.2666290308
128	0.2664850272
129	0.2662094474
130	0.2660433122
131	0.2658734854
132	0.2656367061
133	0.2654896655
134	0.2654054543
135	0.2653079114
136	0.2652730067
137	0.2652377433
138	0.2649106542
139	0.264795916
140	0.2643464166
141	0.2641581655
142	0.2637402691
143	0.2635476273
144	0.2633125139
145	0.2631036956
146	0.2630563955
147	0.2629766946
148	0.2629602472
149	0.2629091043
150	0.2628132425
151	0.2627965069
152	0.2626816521
153	0.2624675692
154	0.2622639685
155	0.2620800223
156	0.2619380858
157	0.2618028251
158	0.2614236338
159	0.2613969096
160	0.2611501604
161	0.2610034715
162	0.2607138264
163	0.2605768071
164	0.2604010539
165	0.2603212591
166	0.2601397813
167	0.2598680435
168	0.2596759825
169	0.2594941992
170	0.2592568529
171	0.2589202826
172	0.2587453043
173	0.2585717584
174	0.2584974229
175	0.2584222915
176	0.2581882522
177	0.2580611298
178	0.2579989709
179	0.2577249227
180	0.2576147683
181	0.257404235
182	0.257046752
183	0.257017626
184	0.2567979397
185	0.2567088167
186	0.2566045469
187	0.2565539978
188	0.2561886893
189	0.2559172151
190	0.2555797063
191	0.2553425265
192	0.2551607341
193	0.254756143
194	0.2545405888
195	0.2543532594
196	0.2540445521
197	0.253683694
198	0.2534853584
199	0.2533114173
200	0.2529377611
201	0.25273674
202	0.2526426889
203	0.252505329
204	0.2521946145
205	0.2520046781
206	0.2518367558
207	0.2515308738
208	0.2513675773
209	0.2511411475
210	0.2508567003
211	0.2506582299
212	0.2505764085
213	0.2504001763
214	0.250189424
215	0.2499242924
216	0.2496087195
217	0.2493000686
218	0.2491447292
219	0.2489668133
220	0.2486129846
221	0.2484736379
222	0.2482157584
223	0.2480062124
224	0.2478459273
225	0.247623798
226	0.2473206627
227	0.2469333634
228	0.2467040159
229	0.2465458193
230	0.2464538336
231	0.2463363148
232	0.2460464072
233	0.2457757622
234	0.2454702867
235	0.2453998767
236	0.2451742856
237	0.245092837
238	0.2448675408
239	0.2447961185
240	0.2445330578
241	0.2443280971
242	0.244172221
243	0.2440445138
244	0.2438271703
245	0.243605549
246	0.2433063833
247	0.243064472
248	0.2429534623
249	0.2426999488
250	0.2425839637
251	0.2423258651
252	0.2421997923
253	0.2419140462
254	0.2417403479
255	0.2412990096
256	0.2411026125
257	0.2408896847
258	0.2407122233
259	0.240628736
260	0.2405538412
261	0.240431764
262	0.2401568507
263	0.2400602482
264	0.2398816722
265	0.239778914
266	0.2396831578
267	0.2394428972
268	0.2393729755
269	0.239033183
270	0.2388314438
271	0.2385475039
272	0.2385243196
273	0.2382467155
274	0.2381177089
275	0.2377863466
276	0.2377523244
277	0.2376687882
278	0.2375281167
279	0.2372883512
280	0.2371290688
281	0.2368656056
282	0.2367523189
283	0.2367148297
284	0.2364313306
285	0.236304776
286	0.2359556569
287	0.2357396173
288	0.2354787791
289	0.2353836243
290	0.2352291474
291	0.2350173289
292	0.2349286192
293	0.234871053
294	0.2348443241
295	0.2345937888
296	0.2344277698
297	0.2340833351
298	0.2338307689
299	0.2336633717
300	0.2333438293
301	0.2331273374
302	0.233038959
303	0.2327741424
304	0.232737101
305	0.2326529174
306	0.2324169217
307	0.232110345
308	0.2318901906
309	0.2316999406
310	0.2315407331
311	0.2312404709
312	0.2309561601
313	0.2308623875
314	0.2307552876
315	0.2306672599
316	0.2306089037
317	0.2305196181
318	0.2303227853
319	0.2302155032
320	0.2299802584
321	0.229889887
322	0.2296948216
323	0.229443048
324	0.2291970783
325	0.2291046898
326	0.2288627485
327	0.2285550348
328	0.2285217805
329	0.2284041545
330	0.22831851
331	0.227992689
332	0.2277774715
333	0.2274033646
334	0.2273141584
335	0.2271228079
336	0.2270043851
337	0.2269960921
