iter	Passed	Remaining
402	15534	23013
403	15572	22973
404	15610	22933
405	15647	22893
406	15683	22851
407	15728	22822
408	15770	22788
409	15812	22754
410	15854	22721
411	15893	22683
412	15930	22642
413	15972	22608
414	16012	22572
415	16054	22538
416	16094	22501
417	16135	22466
418	16173	22427
419	16213	22389
420	16261	22365
421	16322	22356
422	16384	22349
423	16425	22313
424	16466	22278
425	16506	22240
426	16550	22209
427	16591	22173
428	16632	22137
429	16683	22115
430	16731	22089
431	16781	22064
432	16873	22095
433	16921	22068
434	16967	22038
435	17011	22006
436	17062	21982
437	17108	21951
438	17154	21922
439	17203	21894
440	17254	21870
441	17296	21836
442	17344	21807
443	17385	21770
444	17427	21735
445	17470	21701
446	17513	21666
447	17560	21636
448	17604	21603
449	17650	21573
450	17701	21547
451	17744	21513
452	17792	21484
453	17834	21448
454	17878	21415
455	17920	21378
456	17967	21348
457	18092	21411
458	18143	21384
459	18204	21370
460	18247	21334
461	18296	21306
462	18342	21274
463	18383	21236
464	18462	21242
465	18512	21214
466	18599	21227
467	18640	21189
468	18686	21157
469	18728	21119
470	18766	21077
471	18805	21036
472	18857	21010
473	18896	20969
474	18942	20936
475	18986	20901
476	19027	20862
477	19071	20826
478	19116	20792
479	19160	20756
480	19207	20725
481	19258	20697
482	19305	20663
483	19345	20624
484	19396	20595
485	19435	20555
486	19530	20573
487	19570	20532
488	19613	20495
489	19653	20455
490	19698	20420
491	19742	20384
492	19784	20346
493	19828	20310
494	19870	20271
495	19911	20232
496	19955	20196
497	20000	20161
498	20043	20124
499	20093	20093
500	20140	20060
501	20181	20021
502	20225	19984
503	20273	19951
504	20322	19920
505	20363	19880
506	20403	19840
507	20443	19799
508	20481	19757
509	20531	19725
510	20571	19685
511	20610	19644
512	20650	19603
513	20690	19563
514	20736	19528
515	20802	19512
516	20854	19483
517	20893	19441
518	20940	19407
519	20986	19371
520	21027	19332
521	21075	19299
522	21118	19261
523	21158	19220
524	21200	19181
525	21245	19145
526	21303	19120
527	21371	19104
528	21428	19078
529	21473	19042
530	21519	19006
531	21559	18965
532	21646	18966
533	21697	18934
534	21746	18901
535	21790	18863
536	21829	18821
537	21879	18788
538	21926	18753
539	21978	18722
540	22022	18684
541	22069	18648
542	22122	18618
543	22164	18578
544	22209	18541
545	22252	18502
546	22293	18462
547	22338	18425
548	22380	18385
549	22425	18348
550	22465	18307
551	22504	18264
552	22541	18220
553	22582	18180
554	22622	18138
555	22662	18097
556	22723	18072
557	22775	18040
558	22817	18000
559	22873	17972
560	22916	17932
561	22960	17894
562	23007	17858
563	23072	17836
564	23121	17801
565	23161	17759
566	23203	17719
567	23270	17698
568	23318	17662
569	23360	17623
570	23411	17589
571	23458	17552
572	23501	17513
573	23545	17474
574	23596	17440
575	23641	17402
576	23682	17361
577	23724	17321
578	23764	17279
579	23805	17238
580	23849	17199
581	23902	17167
582	23959	17137
583	24005	17100
584	24048	17060
585	24091	17020
586	24137	16982
587	24187	16947
588	24230	16907
589	24270	16865
590	24310	16824
591	24352	16783
592	24395	16743
593	24440	16705
594	24487	16667
595	24531	16628
596	24576	16590
597	24620	16551
598	24679	16521
599	24727	16485
600	24777	16449
601	24831	16416
602	24876	16378
603	24924	16341
604	24970	16303
605	25018	16265
606	25060	16225
607	25102	16184
608	25149	16146
609	25189	16104
610	25232	16064
611	25292	16035
612	25345	16001
613	25388	15960
614	25441	15926
615	25482	15885
616	25527	15846
617	25573	15807
618	25632	15776
619	25675	15736
620	25720	15697
621	25771	15661
622	25815	15621
623	25857	15580
624	25902	15541
625	25986	15525
626	26104	15529
627	26163	15498
628	26276	15498
629	26323	15460
630	26371	15421
631	26423	15385
632	26473	15348
633	26523	15311
634	26576	15276
635	26629	15240
636	26679	15203
637	26727	15164
638	26777	15127
639	26823	15088
640	26870	15049
641	26921	15012
642	26971	14974
643	27025	14939
644	27079	14904
645	27128	14866
646	27181	14830
647	27232	14792
648	27281	14754
649	27333	14717
650	27379	14678
651	27427	14639
652	27475	14600
653	27540	14570
654	27614	14545
655	27681	14515
656	27727	14475
657	27777	14437
658	27825	14398
659	27873	14358
660	27927	14322
661	27971	14281
662	28012	14238
663	28058	14198
664	28101	14156
665	28142	14113
666	28193	14075
667	28237	14034
668	28279	13991
669	28321	13949
670	28372	13911
671	28424	13873
672	28475	13835
673	28527	13798
674	28572	13757
675	28620	13717
676	28668	13678
677	28714	13637
678	28758	13595
679	28802	13554
680	28849	13513
681	28899	13475
682	28956	13439
683	29005	13400
684	29055	13361
685	29099	13319
686	29146	13279
687	29196	13240
688	29238	13197
689	29282	13156
690	29321	13112
691	29365	13070
692	29405	13026
693	29478	12997
694	29518	12954
695	29564	12913
